name,categories,lat,long
Fat Boy's Café,Café,51.2490998767121,-0.15697491571985653
Max's Kitchen,Café,51.249797626027615,-0.1589544284587322
Sarah's Celebration Cakes,Bakery,51.252689317131974,-0.11574268341064453
Artisan Bakery,Bakery,51.246837,-0.066081
Godstone Green Tea Rooms,Tea Room,51.2481473947795,-0.06787898084926122
Pickles Fine Foods,Deli / Bodega,51.24914364059337,-0.06716251373291016
The Old Forge Deli,Breakfast Spot,51.247645,-0.067139
"Mumma Gs Cafe Maidston West, Kent.",Café,51.25135803222656,0.4124549925327301
Ramblers Rest,Tea Room,51.248551,0.421168
Riveside Resturant,Restaurant,51.24897306531761,0.4205024351929299
Wai Yin Chinese Takeaway,Chinese Restaurant,51.25355781542949,0.4223058625952044
The Tickled Trout,Restaurant,51.247712684341124,0.45315206347081166
cafe papillon,Café,51.25835262857983,-0.20148268369138794
Merstham Tandoori,Indian Restaurant,51.26081756,-0.14408819999999997
Lee Garden,Chinese Restaurant,51.2612604371908,-0.14345806351732227
Portland Drive Cafe,Café,51.26117706298679,-0.14346599578857006
Merstham Tandoori,Indian Restaurant,51.26212130142666,-0.1290742507290534
PizzaExpress,Pizza Place,51.258488935662854,-0.0043035639317642
Cafe Papillon,Café,51.257768683414966,-0.005121994424466468
Cattle & Cocktail,Steakhouse,51.25664,-0.006952621
Pizza Federicci Van Oxted,Pizza Place,51.25851006532002,-0.007687923253721816
Caffè Nero,Coffee Shop,51.258339411994385,-0.004159083323602616
Cakes By Laura Classes,Bakery,51.25946395,-0.00736085
Golden Palace,Chinese Restaurant,51.25732381697976,-0.005649807574948019
Thai Pad,Thai Restaurant,51.257713317871094,-0.004899099934846163
cucina Italiana,Italian Restaurant,51.26179218,0.00408288
Kierans,Restaurant,51.258997,0.013984
Grasshopper Inn,Gastropub,51.26188069493866,0.04673814769100793
Mote Cafe,Café,51.258865,0.270324
dine alfresco,Breakfast Spot,51.26147,0.457675
McDonald's,Fast Food Restaurant,51.270950021694595,0.03949991919406954
Costa Coffee,Coffee Shop,51.27089815515088,0.03954669393417133
Chozen Noodle,Noodle House,51.27108313398988,0.03987179596519567
Hot Food Co,Restaurant,51.27007547360824,0.039564803321638246
Wimpy,Burger Joint,51.270703,0.039631
England,American Restaurant,51.270193474129364,0.03926820291873691
Quandri,Coffee Shop,51.26795959472656,0.07653529942035675
El Matador,Music Venue,51.2714109347912,0.19100357372139487
Eat'n'mess,Café,51.271984,0.190528
7 Sins,Dessert Shop,51.272114,0.19033626
The Snail at Stone Street,Gastropub,51.269112667206066,0.24892814108599506
The Snail,French Restaurant,51.26885174236266,0.26200485761006187
Costa Coffee,Coffee Shop,51.272170083347426,0.40038514241384016
Domino's Pizza,Pizza Place,51.272172860051384,0.4832491500779233
Deep Blue Fish Restaurant & Takeaway,Seafood Restaurant,51.27237598180129,0.4834715703683258
Subway,Sandwich Place,51.272153894873625,0.48357881261101815
barming fish and chips,Fish & Chips Shop,51.26798029273563,0.4882081250471949
Lotus house,Chinese Restaurant,51.26739075618418,0.48303331791890686
Taj Barming,Indian Restaurant,51.266614195961694,0.4845142364501953
Fidelity Deli Bar,Sandwich Place,51.276911,-0.208075
Crown & Pepper Caterham,Asian Restaurant,51.28123950336062,-0.07555782794952393
The White Hart,Restaurant,51.27668737705398,0.11220580276875937
Stanhope arms,Gastropub,51.278976,0.104102
The White Horse,Gastropub,51.277943,0.127264
Udaipur,Indian Restaurant,51.28238443389284,0.15776593550557547
Miiller & Carter,Steakhouse,51.283123,0.17069511
Riverhead Sandwich Bar,Sandwich Place,51.28403784974882,0.16988039016723633
Tom Bell,Fish & Chips Shop,51.277038308366514,0.183296799659729
Costa Coffee,Coffee Shop,51.27705644425206,0.18157873051950899
Sevenoaks Traincrew Messroom,Diner,51.27696160210382,0.182342770106609
Pumpkin Café,Café,51.276892353401486,0.1815241826913962
perfetto,Italian Restaurant,51.279878,0.187421
Raj Bari,Indian Restaurant,51.277141,0.181472
Hollybush Cafe,Café,51.278243,0.199075
Banana Leaf,Indian Restaurant,51.28243704250286,0.1967992531485554
"Lodge Café, Hollybush Lane",Café,51.27830028533786,0.19899845123290438
The Crown Point Inn,Gastropub,51.28140727473487,0.27304887771606445
Tea At Hilltop,Tea Room,51.27811813354492,0.4344397485256195
The Bridge Grill,Turkish Restaurant,51.291299,-0.23583
The Chalet,Coffee Shop,51.28811,-0.231708
Thai Cottage,Restaurant,51.290894,-0.23599014
Haweli,Indian Restaurant,51.29118416180775,-0.2363895096465742
Tiger Lily,Chinese Restaurant,51.29074979878263,-0.23496409069179777
The Grumpy Mole,Gastropub,51.29097866397655,-0.22593274902878444
Captain George,Restaurant,51.290879,-0.100799
The White Hart,Food,51.29105758666992,-0.10611636191606522
Fresh Fry,Seafood Restaurant,51.292324,-0.101528
Royal Chicken,Wings Joint,51.290983,-0.100539
Royal Tandoori,Indian Restaurant,51.29226311061133,-0.10155291181720554
East Side Deli,Coffee Shop,51.286846,-0.08870769
Munch @ Coughlans,Café,51.28758163261093,-0.08977515919690263
King Fish,Fast Food Restaurant,51.29008259127086,-0.07621510219919456
Costa Coffee,Coffee Shop,51.28833296801194,0.1655588365003128
Heis Chinese Dunton Green,Chinese Restaurant,51.29066540193467,0.1693339412540286
Zapata,Mexican Restaurant,51.28919920379216,0.1817628508712935
Papa John’s,Pizza Place,51.286508647231216,0.19746989391641942
Papa John's Sevenoaks,Pizza Place,51.28775529323645,0.19495368003845215
Zeera,Indian Restaurant,51.286419838698656,0.2719801
Mr Tony's Chippy,Fast Food Restaurant,51.292774,0.306846
Melia's Place,Café,51.291735,0.304731
Raj Tandoori,Indian Restaurant,51.29081214509474,0.31040972915701337
Zeera,Indian Restaurant,51.29269356267663,0.3066632716292158
Four Wents Chip Shop,Seafood Restaurant,51.29150603429132,0.30329239609351083
Kebabs & Burgers,Turkish Restaurant,51.292888486089026,0.30678425930417097
Borough Green Bakery,Bakery,51.292208,0.306265
The Blue Anchor,English Restaurant,51.29013725136382,0.3244131803512573
Spadework Offham Kent,Café,51.290253,0.382781
Green Cafe,Café,51.2881508330487,0.40609345023799376
Mccoys Fish And Chips,Fish & Chips Shop,51.29358316884399,0.40945801765674505
The Bean Rush,Café,51.293823,0.409405
the pizza shack,Pizza Place,51.293607,0.408954
Rain Grill,Fast Food Restaurant,51.29391528848263,0.40844816090856323
Five Pointed Star,Gastropub,51.29379133062084,0.40790243523346204
M&S Simply Food,Grocery Store,51.29361023,0.46929723
Nando's,Portuguese Restaurant,51.292946,0.471041
Costa Coffee,Coffee Shop,51.29351137015463,0.4699771300255914
The Poppy Fields,Restaurant,51.290659,0.488117
Poppy Fields Maidstone,Pub,51.290804871595526,0.48824582209010714
Larkfield Priory Restaurant,Restaurant,51.2900600420005,0.488569992000407
Brewers Fayre Heathside,Pub,51.303993,-0.219314
Heathside,Restaurant,51.303985,-0.21978
Legal & General Coffee Shop,Coffee Shop,51.29842111921642,-0.20777612420872124
Legal & General Canteen,Cafeteria,51.29899065585179,-0.20846679479326566
The Ramblers Rest,Gastropub,51.302788090664656,-0.17454274544756698
Brekkers Café,Café,51.30229017668875,-0.1500488231958984
Cafe Shack Old Coulsdon,Café,51.300470453025774,-0.11708852424134819
glade fisheries,Fish & Chips Shop,51.30229827768716,-0.11640763699288477
Village Kebab & Pizza House,Middle Eastern Restaurant,51.302262975,-0.11674046516418457
Man Lee,Chinese Restaurant,51.302214,-0.116857
Salisbury Fish Bar,Seafood Restaurant,51.297169,-0.089086
Rendezvous Cafe Whyteleafe,Café,51.2988698549556,-0.07284671703461765
Pinky & Perky Manor,Pizza Place,51.303328,0.018773
Aperfield Inn,Restaurant,51.301912,0.052481
Osteria Chartwell Restaurant,Italian Restaurant,51.30145489616407,0.1610398292541504
The Vinyard,Italian Restaurant,51.29835663646211,0.3457580935736209
chocolate raindrops,Dessert Shop,51.298516,0.346107
Snack Wagon,Bakery,51.298251,0.355159
The George,Restaurant,51.30019,0.40605
The Old Rectory,Gastropub,51.302402305372645,0.42690366471967567
Hengist,French Restaurant,51.30239748571428,0.4268539
Cafe Plaza,Café,51.300234,0.440179
Wealden Hall,Restaurant,51.2984876768942,0.44215895415592343
Alim-Et,Turkish Restaurant,51.298501,0.443474
the cupcake house,Bakery,51.298231,0.441686
Larkfield  Tandoori,Indian Restaurant,51.300018310546875,0.4399060904979706
best wok martin square,Chinese Restaurant,51.30029636653497,0.4403954179004216
Larkfield Kebab And Pizza,Fast Food Restaurant,51.300476,0.440937
Cupcake Heart,Café,51.29871125501183,0.44148894523744153
best wok martins sq,Chinese Restaurant,51.30024719238281,0.44059643149375916
Happy Times,Chinese Restaurant,51.29856349706963,0.44021388584344284
Best Wok,Chinese Restaurant,51.30000308283144,0.44048121308335325
Papa's Barn,Fish & Chips Shop,51.29815734534215,0.45801200519849206
Iced Images Cakes,Bakery,51.2985674,0.4506013999999823
A&D Fisheries,Restaurant,51.299874830608935,0.4496998058141491
The Cantine @ ASSC,Snack Place,51.29917238683814,0.4647991545819079
Joanna's Cakes,Bakery,51.297989,0.472995
Melad,Indian Restaurant,51.30124735342273,0.46448030356846265
Premier Fish Bar,Fish & Chips Shop,51.299808112615914,0.4685165370331808
Bentleys,Café,51.303306579589844,0.48200568556785583
The Village Pantry,Café,51.303246244050484,0.48143108392726963
The Posh Plaice,Seafood Restaurant,51.309632973105956,-0.24109291535169453
Chillies,Indian Restaurant,51.309716617263334,-0.2411574740044217
Point,Café,51.30991329440034,-0.24007344903234984
Mexican Fresh,Mexican Restaurant,51.308397141355805,-0.24078610635025965
El Rincon (Tattenham Crescent),Spanish Restaurant,51.309771955063624,-0.24114131927490234
The Silver Spoon Diner,Diner,51.3096352470638,-0.2407263516315557
Sea Treasures,Cantonese Restaurant,51.306075,-0.21929
Kings Kebab,Fast Food Restaurant,51.30683836438016,-0.21914208738046012
Burgh Heath Tandoori,Indian Restaurant,51.3060342840379,-0.21926475913356047
Hardy's Fish & Chips,Fish & Chips Shop,51.306111,-0.219287
Chipstead Tandoori,Indian Restaurant,51.309181761861524,-0.17024517059326172
Chipstead Tandoori,Indian Restaurant,51.309317,-0.170389
Full Monty Cafe,Café,51.30698712612927,-0.1462459285391548
BP,Gas Station,51.31343624057608,-0.08178929207456713
Kebab Master,Turkish Restaurant,51.3090978284388,-0.07991682317287946
Whyteleafe Sandwich Shop,Bakery,51.309059858322144,-0.0797581672668457
Salisbury's,Fast Food Restaurant,51.30870056760712,-0.07988085464961245
The Pasta House,Italian Restaurant,51.31041184602642,-0.081532373423777
Whyteleafe Café,Café,51.308576138367606,-0.07984661232127943
Salisbury's Fish & Chips,Seafood Restaurant,51.308383,-0.07970438672135376
Elaine Bakes,Bakery,51.30703949999999,-0.0683717
Royal Tandoori,Indian Restaurant,51.31038974364754,-0.0763497067922327
India Dining,Indian Restaurant,51.30984832696366,-0.05646061178149735
The Captains Table,Fish & Chips Shop,51.309894,-0.056184
The Horseshoe,Pub,51.30937768245966,-0.053362895241560966
Chez Vous,French Restaurant,51.30913834621976,-0.05366437285218613
Warlingham Tandoori,Indian Restaurant,51.309602834116994,-0.05617004460075811
Coughlans Bakery,Bakery,51.309461,-0.055706
La Botija,Tapas Restaurant,51.30987915323955,-0.053454203687871085
Village Cafe,Café,51.31013499360568,-0.05634154650529453
Amano,Coffee Shop,51.306942836611455,-0.041749431241047394
Phoenix On The Hill,Chinese Restaurant,51.308724910695005,0.03811049586550701
Costa Coffee,Coffee Shop,51.30864,0.03822
No8 Cafe,Café,51.30963593805372,0.03729224501230573
"salisbury's fish and chips, biggin hill",Fish & Chips Shop,51.313211,0.033777
Domino's Pizza,Pizza Place,51.308283043996326,0.03838777542114258
Spitfire Cafe,Café,51.310176,0.036214
