URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,OfstedSpecialMeasures (code),OfstedSpecialMeasures (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,InspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,CensusAreaStatisticWard (name),MSOA (name),LSOA (name),Inspectorate (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,Ofsted_Rating,RSCRegion (name),Country (name),UPRN,SiteName,MSOA (code),LSOA (code)
100834,210,Southwark,3484.0,"Saint Joseph's Catholic Primary School, the Borough",2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC19,Archdiocese of Southwark,4,Non-selective,246.0,2,No Special Classes,19-01-2017,234.0,110.0,125.0,13.8,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,27-03-2018,0,Not applicable,16-07-2018,Little Dorrit Court,,Redcross Way,London,,SE1 1NJ,www.st-josephs-borough.southwark.sch.uk/,2074072642.0,Mrs,Sue,Barber,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000028,Southwark,E05000536,Cathedrals,E14000553,Bermondsey and Old Southwark,A1,Urban major conurbation,E09000028,532485.0,179893.0,,Southwark 002,Southwark 002B,,,,,,999,,,1,South East & South London,,200003468830.0,,E02000808,E01003929
100835,210,Southwark,3492.0,St Jude's Church of England Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,5.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE36,Diocese of Southwark,0,Not applicable,210.0,2,No Special Classes,19-01-2017,109.0,60.0,50.0,10.1,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,16-10-2014,0,Not applicable,16-07-2018,Colnbrook Street,,,London,,SE1 6HA,http://www.stjudessouthwark.co.uk,2079285484.0,Ms,Fay,Bucknall,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000028,Southwark,E05000536,Cathedrals,E14000553,Bermondsey and Old Southwark,A1,Urban major conurbation,E09000028,531616.0,179248.0,,Southwark 034,Southwark 034A,,,,,,999,,,1,South East & South London,,200003372419.0,,E02006802,E01003930
100836,210,Southwark,3508.0,St Mary Magdalene Church of England Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,4.0,11.0,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE36,Diocese of Southwark,0,Not applicable,240.0,2,No Special Classes,19-01-2017,214.0,110.0,105.0,15.9,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,28-03-2017,0,Not applicable,16-07-2018,48 Brayards Road,,,London,,SE15 3RA,www.smmsprimary.co.uk,2076391724.0,Mrs,Jennifer,Parris,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000028,Southwark,E05000553,The Lane,E14000615,Camberwell and Peckham,A1,Urban major conurbation,E09000028,534646.0,176177.0,,Southwark 026,Southwark 026E,,,,,,999,,,1,South East & South London,,200003493579.0,,E02000832,E01004068
100837,210,Southwark,3516.0,Peter Hills with St Mary's and St Paul's CofE Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE36,Diocese of Southwark,0,Not applicable,210.0,2,No Special Classes,19-01-2017,202.0,110.0,90.0,8.8,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,25-04-2017,0,Not applicable,16-07-2018,2 Beatson Walk,Rotherhithe,,London,,SE16 5ED,www.peterhillsschool.co.uk,2072372654.0,Mrs,Pia,Longman,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000028,Southwark,E05000552,Surrey Docks,E14000553,Bermondsey and Old Southwark,A1,Urban major conurbation,E09000028,535947.0,180402.0,,Southwark 001,Southwark 001E,,,,,,999,,,1,South East & South London,,200003404391.0,,E02000807,E01004055
100838,210,Southwark,3573.0,"St Paul's Church of England Primary School, Walworth",2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE36,Diocese of Southwark,0,Not applicable,315.0,2,No Special Classes,19-01-2017,326.0,180.0,145.0,20.1,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,28-02-2018,0,Not applicable,18-05-2018,Penrose Street,Walworth,,London,,SE17 3DT,www.st-paulsprimaryschool.co.uk/,2077034896.0,Dr,Maggie,Brady,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000028,Southwark,E05000544,Newington,E14000553,Bermondsey and Old Southwark,A1,Urban major conurbation,E09000028,532078.0,178089.0,,Southwark 012,Southwark 012E,,,,,,999,,,-2,South East & South London,,200003468864.0,,E02000818,E01003994
100839,210,Southwark,3586.0,St Peter's Church of England Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE36,Diocese of Southwark,0,Not applicable,210.0,1,Has Special Classes,19-01-2017,235.0,115.0,120.0,15.2,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,11-07-2017,0,Not applicable,16-07-2018,Liverpool Grove,Walworth,,London,,SE17 2HH,www.stpeterswalworth.co.uk,2077034881.0,Mrs,Anne Marie,Bahlol,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000028,Southwark,E05000541,Faraday,E14000615,Camberwell and Peckham,A1,Urban major conurbation,E09000028,532484.0,178081.0,,Southwark 017,Southwark 017B,,,,,,999,,,1,South East & South London,,200003494070.0,,E02000823,E01003969
100840,210,Southwark,3593.0,The Cathedral School of St Saviour and St Mary Overy,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE36,Diocese of Southwark,0,Not applicable,210.0,2,No Special Classes,19-01-2017,217.0,110.0,110.0,7.8,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,22-10-2008,0,Not applicable,16-07-2018,Redcross Way,Southwark,,London,,SE1 1HG,http://www.cathedralprimaryschool.com,2074072600.0,Mrs,Filiz,Scott,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000028,Southwark,E05000536,Cathedrals,E14000553,Bermondsey and Old Southwark,A1,Urban major conurbation,E09000028,532389.0,179937.0,,Southwark 002,Southwark 002B,,,,,,999,,,2,South East & South London,,200003468866.0,,E02000808,E01003929
100841,210,Southwark,3669.0,St John's Roman Catholic Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC19,Archdiocese of Southwark,0,Not applicable,210.0,2,No Special Classes,19-01-2017,233.0,120.0,115.0,25.8,0,Not applicable,,,Not applicable,,Supported by a federation,16053.0,The Federation of St James the Great and St John's,,,Not applicable,13-04-2016,0,Not applicable,16-07-2018,St Elmo's Road,,,London,,SE16 6SD,www.stjohnsrotherhithe.co.uk/,2072521859.0,Ms,Janice,Babb,Executive Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000028,Southwark,E05000552,Surrey Docks,E14000553,Bermondsey and Old Southwark,A1,Urban major conurbation,E09000028,536038.0,179747.0,,Southwark 008,Southwark 008B,,,,,,999,,,1,South East & South London,,200003415644.0,,E02000814,E01004057
100849,210,Southwark,4680.0,St Saviour's and St Olave's Church of England School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,4,Secondary,11.0,18.0,1,No boarders,No Nursery Classes,1,Has a sixth form,2,Girls,2,Church of England,Does not apply,CE36,Diocese of Southwark,1,Comprehensive (secondary),825.0,2,No Special Classes,19-01-2017,771.0,0.0,770.0,18.2,0,Not applicable,,,Not applicable,,Not under a federation,,,10006256.0,,Not applicable,26-02-2009,0,Not applicable,16-07-2018,New Kent Road,,,London,,SE1 4AN,www.ssso.southwark.sch.uk,2074071843.0,Ms,Catherine,May,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000028,Southwark,E05000537,Chaucer,E14000553,Bermondsey and Old Southwark,A1,Urban major conurbation,E09000028,532857.0,179036.0,,Southwark 006,Southwark 006D,,,,,,999,,,2,South East & South London,,200003363943.0,,E02000812,E01003942
100851,210,Southwark,5200.0,St Francesca Cabrini Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC19,Archdiocese of Southwark,0,Not applicable,420.0,2,No Special Classes,19-01-2017,390.0,205.0,185.0,9,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,28-03-2017,0,Not applicable,16-07-2018,Forest Hill Road,Honor Oak,,London,,SE23 3LE,www.stfrancescacabrini.com,2086998862.0,Mrs,M,Lawton Quin,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000028,Southwark,E05000547,Peckham Rye,E14000615,Camberwell and Peckham,A1,Urban major conurbation,E09000028,535351.0,174032.0,,Southwark 029,Southwark 029C,,,,,,999,,,1,South East & South London,,200003449039.0,,E02000835,E01004017
