URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,OfstedSpecialMeasures (code),OfstedSpecialMeasures (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,InspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,CensusAreaStatisticWard (name),MSOA (name),LSOA (name),Inspectorate (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,Ofsted_Rating,RSCRegion (name),Country (name),UPRN,SiteName,MSOA (code),LSOA (code)
100000,201,City of London,3614.0,Sir John Cass's Foundation Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,274.0,2,No Special Classes,19-01-2017,276.0,140.0,135.0,12,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,19-04-2013,0,Not applicable,27-03-2018,St James's Passage,Duke's Place,,London,,EC3A 5DE,www.sirjohncassprimary.org,2072831147.0,Mr,Tim,Wilson,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000001,City of London,E05009308,Portsoken,E14000639,Cities of London and Westminster,A1,Urban major conurbation,E09000001,533498.0,181201.0,,City of London 001,City of London 001F,,,,,,999,,,2,South Central & North West London,,200000071925.0,,E02000001,E01032739
100007,202,Camden,1101.0,Camden Primary Pupil Referral Unit,14,Pupil referral unit,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,0,Not applicable,5.0,11.0,1,No boarders,Not applicable,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,20.0,0,Not applicable,19-01-2017,19.0,15.0,0.0,78.9,0,Not applicable,,,Not applicable,,Not applicable,,,,,Not applicable,15-05-2018,0,Not applicable,30-07-2018,"Robson House,",74 Stanhope Street,,London,,NW1 3EX,http://www.robsonhouse.org.uk/main/,2037720370.0,Ms,Bavaani,Nanthabalan,Executive Head,Not applicable,,,,Not applicable,,Not applicable,PRU Does have Provision for SEN,PRU Does have EBD provision,,PRU does offer full time provision,Not applicable,Not applicable,"SEMH - Social, Emotional and Mental Health",,,,,,,,,,,,,SEN Unit,,,20.0,20.0,H,London,E09000007,Camden,E05000142,Regent's Park,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,529082.0,182617.0,,Camden 023,Camden 023B,,,,,,999,,,1,South Central & North West London,,10091911459.0,,E02000188,E01000945
100008,202,Camden,2019.0,Argyle Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,432.0,2,No Special Classes,19-01-2017,396.0,200.0,200.0,28.3,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-01-2015,0,Not applicable,16-09-2017,Tonbridge Street,,,London,,WC1H 9EG,http://www.argyle.camden.sch.uk/,2078374590.0,Ms,Jemima,Wade,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000141,King's Cross,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,530238.0,182761.0,,Camden 025,Camden 025C,,,,,,999,,,1,South Central & North West London,,5090707.0,,E02000190,E01000941
100009,202,Camden,2036.0,Beckford Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,459.0,2,No Special Classes,19-01-2017,446.0,220.0,225.0,25.8,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,24-01-2017,0,Not applicable,16-09-2017,Dornfell Street,West Hampstead,,London,,NW6 1QL,http://www.beckford.camden.sch.uk/,2074358646.0,Ms,S,Smith,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,PD - Physical Disability,,,,,,,,,,,,,Resource Provision,,,,,H,London,E09000007,Camden,E05000132,Fortune Green,E14000727,Hampstead and Kilburn,A1,Urban major conurbation,E09000007,524888.0,185067.0,,Camden 005,Camden 005C,,,,,,999,,,1,South Central & North West London,,5090655.0,,E02000170,E01000873
100010,202,Camden,2065.0,Brecknock Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,2.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,583.0,2,No Special Classes,19-01-2017,390.0,215.0,175.0,31.3,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,22-11-2017,0,Not applicable,30-04-2018,Cliff Villas,,,London,,NW1 9AL,http://www.brecknock.camden.sch.uk/,2074856334.0,Ms,Marianne,Porter,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000131,Cantelowes,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,529912.0,184835.0,,Camden 015,Camden 015E,,,,,,999,,,1,South Central & North West London,,5090625.0,,E02000180,E01000869
100011,202,Camden,2078.0,Brookfield Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,459.0,2,No Special Classes,19-01-2017,437.0,230.0,205.0,17.1,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,19-04-2018,0,Not applicable,18-06-2018,Chester Road,,,London,,N19 5DH,http://www.brookfield.camden.sch.uk/,2072729627.0,Mr,Mark,Stubbings,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000137,Highgate,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,528706.0,186594.0,,Camden 001,Camden 001B,,,,,,999,,,1,South Central & North West London,,5109551.0,,E02000166,E01000908
100012,202,Camden,2095.0,Carlton Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,436.0,2,No Special Classes,19-01-2017,359.0,200.0,160.0,38.7,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,16-01-2015,0,Not applicable,16-09-2017,Grafton Road,,,London,,NW5 4AX,http://www.carlton.camden.sch.uk/,2074851947.0,Ms,Jacqueline,Phelan,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000134,Gospel Oak,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,528386.0,185209.0,,Camden 007,Camden 007C,,,,,,999,,,1,South Central & North West London,,5069952.0,,E02000172,E01000891
100013,202,Camden,2184.0,Edith Neville Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,232.0,2,No Special Classes,19-01-2017,217.0,105.0,110.0,35,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,05-06-2018,0,Not applicable,30-07-2018,174 Ossulston Street,,,London,,NW1 1DN,http://www.edithneville.camden.sch.uk/,2073877158.0,,Ruby,Nasser,Acting Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000143,St Pancras and Somers Town,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,529725.0,183195.0,,Camden 022,Camden 022B,,,,,,999,,,1,South Central & North West London,,5018016.0,,E02000187,E01000953
100014,202,Camden,2219.0,Fleet Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,210.0,2,No Special Classes,19-01-2017,228.0,90.0,135.0,21.5,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,25-01-2017,0,Not applicable,16-09-2017,Fleet Road,,,London,,NW3 2QT,http://www.fleet.camden.sch.uk/,2074852028.0,,Donald,McGibbon,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000134,Gospel Oak,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,527677.0,185424.0,,Camden 006,Camden 006B,,,,,,999,,,1,South Central & North West London,,5090740.0,,E02000171,E01000887
100015,202,Camden,2290.0,Hawley Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,236.0,2,No Special Classes,19-01-2017,146.0,80.0,65.0,19.2,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,15-05-2014,0,Not applicable,16-09-2017,Hawley Road,,,London,,NW1 8RP,http://www.hawley.camden.sch.uk/,2074855020.0,Ms,A,Fontaine,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000130,Camden Town with Primrose Hill,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,528886.0,184273.0,,Camden 019,Camden 019A,,,,,,999,,,1,South Central & North West London,,5185814.0,,E02000184,E01000856
100018,202,Camden,2436.0,Netley Primary School & Centre for Autism,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,2.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,476.0,1,Has Special Classes,19-01-2017,439.0,250.0,190.0,37.1,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,09-07-2014,0,Not applicable,16-09-2017,74 Stanhope Street,,,London,,NW1 3EX,www.netley.camden.sch.uk/,2037720350.0,Ms,Bavaani,Nanthabalan,Executive Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,,,,,,,,,,,,,Resource Provision and SEN Unit,24.0,24.0,24.0,24.0,H,London,E09000007,Camden,E05000142,Regent's Park,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,529095.0,182598.0,,Camden 023,Camden 023B,,,,,,999,,,1,South Central & North West London,,5172210.0,,E02000188,E01000945
100019,202,Camden,2438.0,New End Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,435.0,2,No Special Classes,19-01-2017,438.0,240.0,195.0,12.6,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,12-12-2017,0,Not applicable,15-02-2018,Streatley Place,Hampstead,,London,,NW3 1HU,http://www.newend.camden.sch.uk/,2074310961.0,Ms,Karyn,Ray,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000135,Hampstead Town,E14000727,Hampstead and Kilburn,A1,Urban major conurbation,E09000007,526483.0,185916.0,,Camden 002,Camden 002C,,,,,,999,,,1,South Central & North West London,,5090648.0,,E02000167,E01000895
100020,202,Camden,2475.0,Primrose Hill School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,2.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,483.0,2,No Special Classes,19-01-2017,455.0,255.0,200.0,22.4,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,05-06-2009,0,Not applicable,04-01-2018,Princess Road,,,London,,NW1 8JL,http://www.primrosehill.camden.sch.uk/,2077228500.0,Mr,Robin,Warren,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000130,Camden Town with Primrose Hill,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,528304.0,183909.0,,Camden 018,Camden 018E,,,,,,999,,,2,South Central & North West London,,5082685.0,,E02000183,E01000862
100021,202,Camden,2502.0,Rhyl Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,420.0,2,No Special Classes,19-01-2017,431.0,225.0,205.0,39.7,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,24-01-2017,0,Not applicable,16-09-2017,Rhyl Street,,,London,,NW5 3HB,www.rhylprim.camden.sch.uk/,2074854899.0,Ms,Helen,Connor,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,"SLCN - Speech, language and Communication",,,,,,,,,,,,,Resource Provision,,,,,H,London,E09000007,Camden,E05000136,Haverstock,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,528334.0,184823.0,,Camden 012,Camden 012A,,,,,,999,,,1,South Central & North West London,,5082509.0,,E02000177,E01000900
100022,202,Camden,2507.0,Richard Cobden Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,420.0,2,No Special Classes,19-01-2017,446.0,225.0,220.0,30.3,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,05-12-2008,0,Not applicable,27-03-2018,Camden Street,,,London,,NW1 0LL,http://www.rcobden.camden.sch.uk/,2073875909.0,Mrs,Kathy,Bannon,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000143,St Pancras and Somers Town,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,529342.0,183487.0,,Camden 019,Camden 019E,,,,,,999,,,2,South Central & North West London,,5120658.0,,E02000184,E01000959
100023,202,Camden,2603.0,Torriano Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,443.0,2,No Special Classes,19-01-2017,448.0,245.0,205.0,27,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,30-03-2009,0,Not applicable,09-01-2018,Torriano Avenue,Kentish Town,,London,,NW5 2SJ,http://www.torriano.camden.sch.uk/,2074240202.0,Ms,Helen,Bruckdorfer,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,"SLCN - Speech, language and Communication",,,,,,,,,,,,,Resource Provision,10.0,16.0,,,H,London,E09000007,Camden,E05000139,Kentish Town,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,529559.0,185072.0,,Camden 009,Camden 009E,,,,,,999,,,2,South Central & North West London,,5090649.0,,E02000174,E01000926
100025,202,Camden,2775.0,Gospel Oak Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,472.0,2,No Special Classes,19-01-2017,468.0,230.0,240.0,24.4,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,28-01-2016,0,Not applicable,16-09-2017,Mansfield Road,,,London,,NW3 2JB,www.gospeloak.camden.sch.uk,2074857435.0,Mr,John,Hayes,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000134,Gospel Oak,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,528230.0,185638.0,,Camden 006,Camden 006A,,,,,,999,,,2,South Central & North West London,,5090676.0,,E02000171,E01000886
100026,202,Camden,2797.0,Fitzjohn's Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,4.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,210.0,2,No Special Classes,19-01-2017,232.0,110.0,125.0,7.3,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,19-11-2014,0,Not applicable,16-09-2017,86A Fitzjohn's Avenue,,,London,,NW3 6NP,http://www.fitzjohns.camden.sch.uk/,2074359797.0,Mr,Rob,Earrey,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000135,Hampstead Town,E14000727,Hampstead and Kilburn,A1,Urban major conurbation,E09000007,526566.0,185411.0,,Camden 008,Camden 008D,,,,,,999,,,1,South Central & North West London,,5076981.0,,E02000173,E01000897
100027,202,Camden,2841.0,Eleanor Palmer Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,236.0,2,No Special Classes,19-01-2017,236.0,115.0,120.0,12.7,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,19-10-2011,0,Not applicable,25-07-2018,Lupton Street,Tufnell Park,London,London,,NW5 2JA,http://www.eleanorpalmer.camden.sch.uk/,2074852155.0,Mrs,Kate,Frood,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000139,Kentish Town,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,529117.0,185613.0,,Camden 003,Camden 003C,,,,,,999,,,2,South Central & North West London,,5090678.0,,E02000168,E01000921
100028,202,Camden,3323.0,"Christ Church Primary School, Hampstead",2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,4.0,11.0,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,196.0,2,No Special Classes,19-01-2017,187.0,90.0,100.0,2.7,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,30-04-2009,0,Not applicable,16-09-2017,Christ Church Hill,,,London,,NW3 1JH,http://www.christchurchschool.co.uk/,2074351361.0,Mrs,Katy,Forsdyke,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000135,Hampstead Town,E14000727,Hampstead and Kilburn,A1,Urban major conurbation,E09000007,526518.0,186095.0,,Camden 002,Camden 002E,,,,,,999,,,2,South Central & North West London,,5090616.0,,E02000167,E01000899
100029,202,Camden,3327.0,Christ Church School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,210.0,2,No Special Classes,19-01-2017,223.0,110.0,115.0,24.7,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,24-01-2017,0,Not applicable,27-03-2018,Redhill Street,Camden,,London,,NW1 4BD,http://www.cchurchnw1.camden.sch.uk,2073877881.0,Mrs,Paula,Walker,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000142,Regent's Park,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,528821.0,182991.0,,Camden 023,Camden 023C,,,,,,999,,,1,South Central & North West London,,5090641.0,,E02000188,E01000949
100030,202,Camden,3340.0,Emmanuel Church of England Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,266.0,2,No Special Classes,19-01-2017,251.0,130.0,120.0,7.2,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,14-06-2007,0,Not applicable,16-10-2017,152-158 Mill Lane,West Hampstead,,London,,NW6 1TF,http://www.emmanuel.camden.sch.uk/,2074317984.0,Miss,Kathryn,Fitzsimmons,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000145,West Hampstead,E14000727,Hampstead and Kilburn,A1,Urban major conurbation,E09000007,525336.0,185264.0,,Camden 010,Camden 010B,,,,,,999,,,2,South Central & North West London,,5167368.0,,E02000175,E01000970
100031,202,Camden,3352.0,Hampstead Parochial Church of England Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,4.0,11.0,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,240.0,2,No Special Classes,19-01-2017,233.0,120.0,115.0,9.9,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,08-12-2015,0,Not applicable,16-09-2017,Holly Bush Vale,,,London,,NW3 6TX,http://www.hampsteadprim.camden.sch.uk/,2074354135.0,Mr,Allan,McLean,,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000133,Frognal and Fitzjohns,E14000727,Hampstead and Kilburn,A1,Urban major conurbation,E09000007,526301.0,185733.0,,Camden 004,Camden 004B,,,,,,999,,,1,South Central & North West London,,5109927.0,,E02000169,E01000879
100032,202,Camden,3359.0,"Holy Trinity CofE Primary School, NW3",2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,4.0,11.0,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,189.0,2,No Special Classes,19-01-2017,180.0,70.0,110.0,28.9,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,20-03-2018,0,Not applicable,18-05-2018,Trinity Walk,Maresfield Gardens,,London,,NW3 5SQ,www.holytrinitynw3.co.uk,2074359089.0,Mrs,Laura,Hall,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000133,Frognal and Fitzjohns,E14000727,Hampstead and Kilburn,A1,Urban major conurbation,E09000007,526445.0,184601.0,,Camden 008,Camden 008C,,,,,,999,,,1,South Central & North West London,,5090704.0,,E02000173,E01000883
100033,202,Camden,3361.0,"Holy Trinity and Saint Silas CofE Primary School, NW1",2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,4.0,11.0,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,210.0,2,No Special Classes,19-01-2017,208.0,95.0,115.0,13.9,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,14-03-2007,0,Not applicable,16-09-2017,Hartland Road,,,London,,NW1 8DE,http://www.holytrinitynw1.camden.sch.uk/,2072670771.0,Ms,Lorraine,Dolan,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000130,Camden Town with Primrose Hill,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,528675.0,184432.0,,Camden 019,Camden 019A,,,,,,999,,,2,South Central & North West London,,5090684.0,,E02000184,E01000856
