Ward_Code,Av_GCSE_Points
E09000001,354.5
E05000026,317.65775862068966
E05000027,307.44573170731707
E05000028,295.4513812154696
E05000029,293.43783783783783
E05000030,305.94827586206895
E05000031,315.6670658682635
E05000032,300.6715328467153
E05000033,302.22727272727275
E05000034,297.3286885245902
E05000035,337.7835227272727
E05000036,305.4440298507463
E05000037,312.2058394160584
E05000038,300.18928571428575
E05000039,306.9984732824427
E05000040,302.96492537313435
E05000041,301.5692307692307
E05000042,310.8455284552846
E05000043,339.3390557939914
E05000044,313.546975088968
E05000045,335.65
E05000046,307.73081395348834
E05000047,343.4721212121212
E05000048,337.4255555555555
E05000049,350.0976377952756
E05000050,326.7208333333333
E05000051,360.74090909090904
E05000052,368.5094117647059
E05000053,342.0639705882353
E05000054,325.59571428571434
E05000055,352.6848684210526
E05000056,353.3846715328467
E05000057,352.8417721518988
E05000058,346.8614864864865
E05000059,368.8777327935222
E05000060,320.30231884057974
E05000061,368.8980392156863
E05000062,340.3444444444444
E05000063,356.6886075949367
E05000064,326.29824561403507
E05000065,306.139263803681
E05000066,332.83851851851847
E05000067,340.1451851851852
E05000068,325.36168224299064
E05000069,342.87401574803147
E05000070,298.29692307692306
E05000071,301.3769784172662
E05000072,324.9230215827338
E05000073,337.00166666666667
E05000074,331.87028985507243
E05000075,312.2408
E05000076,335.621052631579
E05000077,303.01259259259257
E05000078,348.67403846153843
E05000079,285.7090909090909
E05000080,324.78986486486485
E05000081,358.70840336134455
E05000082,327.2227848101266
E05000083,347.6792452830189
E05000084,304.6108280254777
E05000085,318.5683870967742
E05000086,321.5930635838151
E05000087,354.56993464052283
E05000088,298.0899441340782
E05000089,311.50859375
E05000090,326.9644295302013
E05000091,304.88221153846155
E05000092,307.5737704918033
E05000093,357.2243697478992
E05000094,319.2414285714285
E05000095,314.08040201005025
E05000096,345.73333333333335
E05000097,339.0653846153846
E05000098,345.8075
E05000099,331.98129032258066
E05000100,298.5968253968254
E05000101,331.1682119205298
E05000102,310.81216216216217
E05000103,315.7455782312925
E05000104,305.72028985507245
E05000105,296.6677419354839
E05000106,359.2688888888889
E05000107,311.6208
E05000108,341.69166666666666
E05000109,339.73540856031127
E05000110,363.74347826086955
E05000111,343.3982905982906
E05000112,338.1915492957746
E05000113,335.5402777777778
E05000114,296.91249999999997
E05000115,302.9659793814433
E05000116,286.6927710843373
E05000117,337.3666666666667
