Code,Population_per_square_kilometre
E05000273,12748.81517
E05000274,7394.067797
E05000275,12556.09756
E05000276,8822.092406
E05000277,14538.74202
E05000278,13737.6161
E05000279,11652.96804
E05000280,12319.61793
E05000281,9686.028257
E05000282,10399.856940000001
E05000283,8194.460813
E05000284,10740.61662
E05000285,6518.26869
E05000286,2583.022554
E05000287,9423.982869
E05000288,8535.203205
E05000289,3669.65035
E05000290,2556.984092
E05000291,3309.661689
E05000292,3203.034901
E05000293,8164.842681
E05000294,8672.131148
E05000295,6469.688385
E05000296,7871.202915999999
E05000297,3163.608563
E05000298,4558.861028
E05000299,7615.623062999999
E05000300,7457.516340000001
E05000301,8609.561753
E05000302,7404.187817
E05000303,2688.285458
E05000304,10284.15759
E05000305,6876.397106999999
E05000306,4449.8928829999995
E05000307,1995.424039
E05000308,3637.851104
E05000309,2668.678595
E05000310,2108.620023
E05000311,5091.426249
E05000312,1925.618747
E05000313,1379.2398859999998
E05000314,4164.860908
E05000315,4605.789111
E05000316,4426.369301
E05000317,3423.728814
E05000318,776.0946746000001
E05000319,6086.182833
E05000320,5123.930033
E05000321,2245.655031
E05000322,5321.617536
E05000323,587.6009586
E05000324,6743.27513
E05000325,4491.765782
E05000326,4430.27159
E05000327,6185.79235
E05000328,4451.059536
E05000329,3565.7959590000005
E05000330,519.1802416999999
E05000331,582.4442083
E05000332,3841.124096
E05000333,1777.6703719999998
E05000334,6185.410334
E05000335,1525.384823
E05000336,3745.793269
E05000337,5917.638484
E05000338,1800.836594
E05000339,4645.797599
E05000340,3233.1102960000003
E05000341,4911.774142
E05000342,5268.481375
E05000343,2738.4965829999996
E05000344,6367.9245280000005
E05000345,3647.645153
E05000346,3064.31302
E05000347,5650.141199000001
E05000348,5337.765957
E05000349,5876.021143999999
E05000350,4942.710246
E05000351,3481.9739950000003
E05000352,5061.910747999999
E05000353,3830.821286
E05000354,3374.6223560000003
E05000355,7687.240356
E05000356,6481.536926
E05000357,3480.156658
E05000358,10006.33641
E05000359,5588.087549
E05000360,6783.0451760000005
E05000361,9030.845157
E05000362,6229.443624
E05000363,2226.132239
E05000364,5311.71108
E05000365,6823.895809999999
E05000366,16478.31325
E05000367,16262.62626
E05000368,13844.463969999999
E05000369,16453.5316
E05000370,13475.93583
E05000371,17912.66376
E05000372,13611.553780000002
E05000373,17158.04067
E05000374,16036.363640000001
E05000375,16738.35481
E05000376,12888.1323
E05000377,17480.62954
E05000378,15985.8156
E05000379,14983.88953
E05000380,18311.111109999998
E05000381,17151.12161
E05000382,17214.62639
E05000383,9433.507853000001
E05000384,9127.192981999999
E05000385,20667.519180000003
E05000386,17589.21162
E05000387,12717.320259999999
E05000388,20359.47712
E05000389,9739.726026999999
E05000390,15610.50725
E05000391,9442.733397
E05000392,11757.90922
E05000393,14987.15891
E05000394,15313.52459
E05000395,15963.636359999999
E05000396,13314.12104
E05000397,7985.571587
E05000398,12723.5543
E05000399,12010.558070000001
E05000400,3816.9592829999997
E05000401,7288.5674930000005
E05000402,6051.06383
E05000403,12460.112809999999
E05000404,4834.110938000001
E05000405,1468.882415
E05000406,2556.689342
E05000407,6355.191257
E05000408,6541.666667
E05000409,8376.11276
E05000410,5661.495845
E05000411,4452.699585
E05000412,8833.575581000001
E05000413,6936.899038
E05000414,4190.751445
E05000415,6524.952622
E05000416,6629.726206
E05000417,14866.253319999998
E05000418,10367.088609999999
E05000419,13627.678569999998
E05000420,14778.1457
E05000421,20297.772569999997
E05000422,9459.872611
E05000423,8084.153543
E05000424,10540.39375
E05000425,18286.118980000003
E05000426,13217.2549
E05000427,13709.98279
E05000428,11182.88475
E05000429,18296.89298
E05000430,12351.13904
E05000431,8646.054181
E05000432,11630.59959
E05000433,13114.49677
E05000434,9512.871287
E05000435,15920.310980000002
E05000436,14629.76085
E05000437,5206.8071310000005
E05000438,6624.729788000001
E05000439,11236.6548
E05000440,8437.901499
E05000441,9090.644973999999
E05000442,6434.910004
E05000443,11971.251409999999
E05000444,8964.989059
E05000445,6498.745819
E05000446,9426.351771
E05000447,8722.498618000001
E05000448,11404.669259999999
E05000449,10160.1541
E05000450,9833.729216
E05000451,9614.823133
E05000452,9522.063037
E05000453,11447.538859999999
E05000454,6866.007194
E05000455,7696.338837
E05000456,4302.607914
E05000457,9964.896490000001
E05000458,3991.658325
E05000459,8463.075586
E05000460,10513.5608
E05000461,11338.23529
E05000462,7874.1554049999995
E05000463,9371.186441
E05000464,7254.557731
E05000465,5009.402655
E05000466,5273.527793
E05000467,5004.631774
E05000468,5471.708379
E05000469,5477.06422
E05000470,6007.600434
E05000471,9459.031657
E05000472,1368.6072689999999
E05000473,5522.808816
E05000474,5145.217390999999
E05000475,2555.946292
E05000476,18995.63319
E05000477,7030.12287
E05000478,10305.448540000001
E05000479,6914.687349
E05000480,16512.99326
E05000481,16099.557519999998
E05000482,9127.483444
E05000483,13624.39807
E05000484,15778.523490000001
E05000485,23393.00135
E05000486,20426.08696
E05000487,9495.523959999999
E05000488,11922.22222
E05000489,17110.09174
E05000490,12954.54545
E05000491,2978.5103280000003
E05000492,7007.78853
E05000493,11604.78608
E05000494,12460.674159999999
E05000495,1849.628425
E05000496,8884.086444
E05000497,4862.737495
E05000498,10552.84016
E05000499,8531.50134
E05000500,5559.614613000001
E05000501,13570.41699
E05000502,5694.929343
E05000503,3753.4780189999997
E05000504,6299.771167
E05000505,8640.169903
E05000506,2459.2343140000003
E05000507,14198.9122
E05000508,7873.673036
E05000509,3662.113821
E05000510,8527.161076999999
E05000511,5533.276451
E05000512,7949.567723
E05000513,6469.78852
E05000514,10414.11451
E05000515,2413.2358600000002
E05000516,3434.2192689999997
E05000517,1891.688089
E05000518,5661.105318
E05000519,1145.9877199999999
E05000520,1524.647375
E05000521,4982.051282
E05000522,4122.723962
E05000523,5668.410042
E05000524,3308.531469
E05000525,5944.272446
E05000526,4242.5
E05000527,6089.232303
E05000528,4241.0846950000005
E05000529,6072.958888
E05000530,2532.5884539999997
E05000531,5608.562691
E05000532,4519.543974
E05000533,6308.687615999999
E05000534,14755.08021
E05000535,16765.12821
E05000536,10297.787859999999
E05000537,19724.17983
E05000538,3911.8738399999997
E05000539,13138.37095
E05000540,11896.85315
E05000541,16018.244009999999
E05000542,15000.829880000001
E05000543,10536.90808
E05000544,18305.28846
E05000545,11103.63086
E05000546,17717.889909999998
E05000547,6519.751443
E05000548,12490.99099
E05000549,10750.670240000001
E05000550,15304.213769999998
E05000551,9993.238167
E05000552,8133.087849
E05000553,12184.17266
E05000554,4657.819225
E05000555,2156.626506
E05000556,3664.8154200000004
E05000557,4547.7107399999995
E05000558,5420.818944
E05000559,1513.605442
E05000560,2818.943626
E05000561,5790.1364109999995
E05000562,8197.333333
E05000563,5586.572438
E05000564,9615.267176000001
E05000565,5998.4
E05000566,8124.213836
E05000567,6336.1439009999995
E05000568,7537.112011
E05000569,7264.069264
E05000570,6401.396161
E05000571,6290.0243310000005
E05000572,6582.013286
E05000573,18894.28919
E05000574,17565.26674
E05000575,9117.290192
E05000576,9784.714747
E05000577,10755.01114
E05000578,18938.54749
E05000579,15553.104580000001
E05000580,17451.838880000003
E05000581,18417.77778
E05000582,16554.20561
E05000583,11796.17575
E05000584,18927.30845
E05000585,9980.079681000001
E05000586,17075.804780000002
E05000587,19122.25705
E05000588,20083.440309999998
E05000589,20833.33333
E05000590,16532.55814
E05000591,12791.86377
E05000592,8465.798046
E05000593,2910.407725
E05000594,5843.797856
E05000595,6585.894207
E05000596,17671.4922
E05000597,5420.0
E05000598,4787.014061
E05000599,5141.45704
E05000600,4842.023588
E05000601,13762.989969999999
E05000602,5761.720638000001
E05000603,6464.272212
E05000604,7637.524558
E05000605,10230.53435
E05000606,10416.09354
E05000607,6149.419485
E05000608,14926.926930000001
E05000609,7868.292683
E05000610,12503.311259999999
E05000611,7838.137471999999
E05000612,11607.370659999999
E05000613,9945.307644
E05000614,10329.89691
E05000615,10885.35032
E05000616,15800.59524
E05000617,14236.86636
E05000618,11989.43948
E05000619,9319.237641
E05000620,6085.723192
E05000621,3577.3056060000004
E05000622,13262.893979999999
E05000623,14933.5443
E05000624,11607.09593
E05000625,8766.267569
E05000626,10440.14963
E05000627,5346.73913
E05000628,9848.933648999999
E05000629,8267.063922
E05000630,11696.80365
E05000631,22127.41313
E05000632,18881.051180000002
E05000633,18894.90969
E05000634,28815.315319999998
E05000635,27353.53535
E05000636,15406.67362
E05000637,2814.639577
E05000638,23580.952380000002
E05000639,18773.584909999998
E05000640,17831.26935
E05000641,11884.11588
E05000642,23560.89194
E05000643,5947.695035
E05000644,4029.988466
E05000645,20619.36937
E05000646,16966.4723
E05000647,18033.10105
E05000648,20537.09199
E05000649,6549.098196
