Name,Latitude,Longitude,Platform / Entrance,Line
Green Park,51.50674,-0.14276,Entrance (south side of Piccadilly),"Jubilee, Piccadilly, Victoria"
Hackney Central,51.54689,-0.05784,mainline platforms,London Overground
Hackney Wick,51.54348,-0.02474,mainline platforms,London Overground
Hainault,51.60288,0.09332,platforms,Central
Hammersmith,51.492328,-0.222825,Platform,"District, Piccadilly"
Hampstead,51.55645,-0.17851,Entrance,Northern
Hampstead Heath,51.55533,-0.16656,London Overground platforms,London Overground
Hanger Lane,51.53,-0.2929,Entrance,Central
Harlesden,51.53628278,-0.257622488,Platform,Bakerloo
Harrow & Wealdstone,51.59205973,-0.334725352,Platform,Bakerloo
Harrow-on-the-Hill,51.579335,-0.337052,Entrance Hall,Metropolitan
Hatton Cross,51.466988,-0.423035,Entrance,Piccadilly
Heathrow Terminals 1,51.4712899,-0.4527438,Central Bus Station Entrance,Piccadilly
Heathrow Terminal 4,51.4594777,-0.44689658,Terminal Entrance,Piccadilly
Hendon Central,51.58346,-0.22653,Platform,Northern
High Barnet,51.6506519,-0.194138166,Platform 2,Northern
High Street Kensingt,51.50034591,-0.192351664,Entrance,"Circle, District"
Highbury & Islington,51.54502,-0.10752,mainline platforms,"London Overground, Victoria, Northern City"
Highgate,51.57722,-0.14553,??,Northern
Hillingdon,51.55364,-0.45062,Platform,"Metropolitan, Piccadilly"
Holborn,51.51711,-0.12055,Entrance,"Central, Piccadilly"
Holland Park,51.50722,-0.20553,Entrance,Central
Holloway Road,51.5529,-0.11278,Entrance,Piccadilly
Homerton,51.5471,-0.04323,mainline platforms,
Hornchurch,51.55387,0.21797,platforms,District
Hounslow Central,51.47129,-0.365853,Platform,Piccadilly
Hounslow East,51.47354,-0.356,Platform,Piccadilly
Hounslow West,51.473689,-0.386471,Platform (North End),Piccadilly
Hyde Park Corner,51.50313,-0.15278,at main entrance (on northern side of roundabout),Piccadilly
Ickenham,51.56147,-0.44257,Platform,"Metropolitan, Piccadilly"
Kennington,51.48823,-0.10587,Entrance,Northern
Kensal Green,51.53060655,-0.224253545,Platform,Bakerloo
Kensal Rise,51.53387,-0.22145,London Overground platforms,London Overground
Kensington (Olympia),51.49675,-0.20931,platforms,District
Kentish Town,51.55046,-0.14067,entrance,Northern
Kentish Town West,51.54776,-0.14708,London Overground platforms,London Overground
Kenton,51.58173809,-0.316870809,Platform,Bakerloo
Kew Gardens,51.47725641,-0.284980014,Platform,District
Kilburn,51.5471715,-0.205002,Platform,Jubilee
Kilburn Park,51.53495818,-0.193963023,Entrance,Bakerloo
King's Cross St.Panc,51.53057,-0.12399,between King's Cross exit and main tube entrance,"Piccadilly, Circle, Victoria, Northern, Metropolitan, Hammersmith & City"
King's Cross Thamesl,51.5308,-0.12044,Pentonville Road exit,Thameslink
Kingsbury,51.58422,-0.2788,Platform,Jubilee
Knightsbridge,51.50169,-0.1603,Between Sloane Street and Knightsbridge entrances,Piccadilly
